id;title;category;baseServings;prepTime;difficulty;imageUrl;ingredients;steps
1;Le Fondu;Menu Classique;1;25 min;Facile;/images/recipes/fondu.jpg;"Tomme de savoie AOP:1:tranche;Oignons Caramélisés:1:c_a_s;Salade:1:feuille;Lard Fumé:1:tranche;Tomates confites:1:c_a_c;Bœuf Aubrac:1:pièce";Étape 1 | Étape 2
2;Le Dunkerquois;Menu Classique;1;26 min;Facile;/images/recipes/dunkerquois.jpg;"Maroilles AOP:1:tranche; Pickels d'oignons rouges:1:c_a_s;Salade:1:feuille;Lard Fumé:1:tranche;Bœuf Aubrac:1:pièce";Étape 1 | Étape 2
3;Le Champi;Menu Classique;1;27 min;Facile;/images/recipes/champi.jpg;"Fourme d'Ambert AOP:1:tranche; Poêlée de champignons:1:c_a_s;Roquette:1:feuille; Oignons caramélisés:1:c_a_s; Bœuf Aubrac:1:Pièce";Étape 1 | Étape 2
4;Le Calendos;Menu Classique;1;28 min;Facile;/images/recipes/calendos.jpg;"Camembert AOP:1:tranche; Noix:1:c_a_s;Pickles de pomme:1:c_a_s;Salade:1:feuille; Bœuf Aubrac:1:pièce";Étape 1 | Étape 2
5;Le Comtois;Menu Classique;1;29 min;Facile;/images/recipes/comtois.jpg;"Comté AOP:1:tranche; Pickels d'oignons rouges:1:c_a_s;Salade:1:feuille; Tomates confites:1:c_a_c; Bœuf Aubrac:1:pièce";Étape 1 | Étape 2
6;Le Cheddar;Menu Classique;1;30 min;Facile;/images/recipes/cheddar.jpg;"Cheddar mâturé:1:tranche;Oignons Caramélisés:1:c_a_s;Salade:1:feuille;Pickels de cornichons:1:c_a_c;Bœuf Aubrac:1:pièce";Étape 1 | Étape 2
7;Le butternut;Burgers du moment;1;31 min;Facile;/images/recipes/butternut.png;"Butternut rôti au romarin:1:tranche;Emmental au lait cru:1:tranche;Noisettes torréfiées:1:c_a_s;Roquette:1:feuille;Oignons caramélisés:1:c_a_s;Mayonnaise au piment d'espelette:1:c_a_c";Étape 1 | Étape 2
8;Le Brie;Burgers du moment;1;32 min;Facile;/images/recipes/brie.png;"Brie de meaux au lait cru AOP 1/2 affiné:1:tranche;Mortadelle truffe et pistache:1:tranche;Sauce à la truffe noir:1:c_a_s;Roquette:1:feuille;Bœuf aubrac ou Galette de PDT au Comté maison:1:pièce";Étape 1 | Étape 2
9;Le Reblochon;Burgers du moment;1;33 min;Facile;/images/recipes/reblochon.png;"Reblochon au lait cru AOP:1:tranche;Oignons blanc et ail cuisinés au vin blanc:1:c_a_s;Lard fumé:1:tranche;Rondelles de PDT rôti au thym:1:portion;Mâche:1:feuille;Crème aux herbes:1:c_a_s;Bœuf Aubrac ou galette de PDT au Comté maison:1:pièce";Étape 1 | Étape 2
10;Le Savoyard;Burgers du moment;1;34 min;Facile;/images/recipes/savoyard.png;"Abondance AOP:1:tranche;Chutney d'échalotes au miel de montagne:1:c_a_s;Pousses d'épinard:1:feuille;Mayonnaise à la moutarde à l'ancienne:1:c_a_c;Bœuf Aubrac ou galette de PDT au Comté maison:1:pièce";Étape 1 | Étape 2
11;Le Saint-Nectaire;Burgers du moment;1;35 min;Facile;/images/recipes/saint-nectaire.png;"Saint Nectaire fermier au lait cru AOP:1:tranche;Pickels de choux rouges:1:c_a_s;Confit de pruneaux d'Agen:1:c_a_c;Roquette:1:feuille;Mayonnaise maison:1:c_a_c;Bœuf Aubrac ou galette de PDT au Comté maison:1:pièce";Étape 1 | Étape 2
12;L'Italien;Burgers du moment;1;36 min;Facile;/images/recipes/italien.png;"Provola Fumé:1:tranche;Jambon de de Parme AOP affiné 14 mois:1:tranche;Jeunes pousses:1:feuille;Pesto à la Pistache maison:1:c_a_s;Mayonnaise maison:1:c_a_c";Étape 1 | Étape 2
13;L'Épicé;Burgers du moment;1;37 min;Facile;/images/recipes/epice.png;"Effiloché de dinde épicé en longue cuisson basse température:1:portion;Noix de cajou torréfiées:1:c_a_s;Emmental au lait cru:1:tranche;Sauce curry madras:1:c_a_s;Oignons rouges:1:portion;Mâche:1:feuille;Bœuf aubrac ou galette de PDT au Comté:1:pièce";Étape 1 | Étape 2
